# Contract: one tab-separated row per released version records its authoritative hashes, full Git commit, and exact toolchain; append new releases, and only replace a row for a deliberate re-record with tools/record-provenance.sh (use --force if inputs or hashes change). reproducible=no retains historical hashes without claiming cross-machine reproducibility.
version	commit	dotnet_sdk	bepinex_pack	valheim_buildid	dll_sha256	plugin_zip_sha256	full_zip_sha256	reproducible
0.13.0	6db1d416e476aed250d8bdefb05c7ff5db61e017	UNPINNED	5.4.2333	21981590	ac4edfa9af0bea0f7d916186ad5b278907b272b867b7fe7b6df55cfba1abeef9	7c24cf86303aa15f1cd3208c7866d2e4d20dfe40d35c874a05674513e8220ec3	1223ee9e2f2e0de0d0d71257719d55a4c4200f8185fbcd0e7631080705d34a0e	no
0.13.1	41c7108487615db2f95366c1d0b220fc180b6b65	10.0.302	5.4.2333	21981590	cc7dda8c3f398f8a20ef27156df95c717e588042052fe1530b0ade9636b05d9f	250dc811e4ab8e37fd276100b1feea2d8639fef3cc856699919816a0cd6e7355	894317f0e691e4b7bb570879091685ed76d63b8d9e0a6826961a7decc9f12d4a	yes
0.13.2	4676abfe91de34e4f3484bc9bd8cdc0756d413be	10.0.302	5.4.2333	21981590	c898685fb441b749b4c0f75bfe453f8d0ecab2114900abaa49dc883b38880229	d025c5a8d5b647bd64b613ac84b6e8dbce6048b7b2e9ae7057e380ed41c7ff1d	17efb21b12d236c59b158b64425ebaf6e09f8ce289e49d50c861e84d7f5a8f83	yes
0.13.3	bfb55d8810341351ef7719d165058f0181f40971	10.0.302	5.4.2333	25185644	14a9c467848f5b3724df8305936082b3cb4e694c832a9e83e239580eeade0223	a81d118ff1ff6e2c48dace8c71a47d277645e8dc6c39787c69190b5c66072f4f	07e9ba704f83c87cf53f5d884251f5530f479fbe175c4478f0a67b9db8a30256	yes
0.13.4	6c1e0409fff81e1051a519bd5baeb4ab4d2efe52	10.0.302	5.4.2333	25185644	634cc639ed7c27783554215f0ce32564f01c19cd7e874eb65e4825959698569b	8c9ecf045320548a4a86cd04702cac11cbba19d1943c56b78aac96717a32021f	a9b2de43d7e6c83cf4affbbc41cc7ca57beaf043521060a43eddd9f027c90fec	yes
0.13.5	a8a2a3781719a4c2bdbc379327d3b823f3eb41ae	10.0.302	5.4.2333	25185644	6232d53e0d8deab7e9dc2fd4d9613887da5e8bb53989febb28e5bd693a2b9234	321eb669c26bf027a8da1a89f48e2fccc653fefd29a709731af1d53c124eb84d	8a9c35f6e6aa1bdb782d341e6f9ee23f0bbaf37d304dded37bc570d771cf2d31	yes
0.13.6	b4c2cf6d17819ec6fb030c666c7aa7a4ba2ac2f2	10.0.302	5.4.2333	25185644	539ff84544f5d199a023e22e59fe5085c21a9e89f214f30a8c2a2ced06ec524f	d2364e72abf647ff8ed897198045da75cb9e732278b395a65da49e1af805fb83	e21a63dce35ac535e7b77caacb5c24e6e6a17294cdc57706845bead5c254a274	yes
0.13.7	4e8c213a7047d632148db23480b2a20fdf48f5e1	10.0.302	5.4.2333	25253791	28a606aa80eb33088a50e657b508916b280a4806f43ebd6f3083b3b6430aad2c	bff5e3bd69716d75856d5882bd28bdb32a1c337d84ab8c352381cc733401ecc5	77803489f84a88f9cd496a5a2eae33e64fc06a7162c342bb3ef050b039b73647	yes
0.13.8	6d79d6ae6e5d8cb7108e7b8e5078607ccd745bbf	10.0.302	5.4.2333	25253791	08cb9fc98441a825af6bb8806eaad73c054f947dc9398290086faa31bf2d3e00	0337b3c4efdaa80fae397e1421bde54384e5b259e37ddd21f7f787c7f864de01	96a0bbdc77a10f679def43fc8aa437b82d715ea10d795dd7808e0968e8a2408d	yes
0.13.9	7780ba60c5853d4a77baa87bb4c942a99d90c801	10.0.302	5.4.2333	25253791	b53fd542c8cfa501f4ba726c24e1d94d64ddfe0a40b3be08363d1b634caead20	018b1e280c3fe67b5ecb653ac1c231ac4b038f70a70805c0942f5c2cc4c10196	cbdbd9c705184e8f7f90e4a139255f7e62dedf962e78035ae76a0a8d6c590cff	yes
